,region,Value
222,Kaduna,48.8
223,Ogun,75.1
224,Cross River,71.0
225,Ondo,76.1
226,Rivers,75.0
227,Oyo,70.6
228,Akwa Ibom,69.5
229,Ekiti,84.8
230,Kwara,70.1
231,Borno,8.3
232,Benue,56.2
233,Kogi,73.7
234,Anambra,71.6
235,Ebonyi,56.0
236,Delta,75.4
237,Jigawa,23.1
238,Abia,79.3
239,Bauchi,4.6
240,Bayelsa,74.2
241,Taraba,6.4
242,Niger,56.3
243,Imo,73.6
244,Edo,69.6
245,Nassarawa,57.0
246,Yobe,6.8
247,Plateau,46.2
248,Enugu,70.3
249,Osun,77.1
250,Sokoto,14.8
251,Katsina,16.7
252,Zamfara,18.4
253,Lagos,85.3
254,Kano,27.5
255,Abuja,67.3
256,Gombe,16.0
257,Kebbi,20.9
258,Adamawa,10.5
